,area_name_en,instance_date,meter_sale_price
205,Marsa Dubai,2025-01-23,10093.64
206,Marsa Dubai,2021-01-14,6170.96
207,Marsa Dubai,2024-03-14,23988.01
208,Marsa Dubai,2017-10-23,17918.86
209,Marsa Dubai,2023-12-25,21082.06
210,Marsa Dubai,2019-11-13,11674.67
211,Marsa Dubai,2021-10-04,21549.13
212,Marsa Dubai,2018-09-18,16617.21
213,Marsa Dubai,2020-09-17,10184.39
214,Marsa Dubai,2017-01-16,19390.5
215,Marsa Dubai,2017-03-22,18225.26
216,Marsa Dubai,2022-09-02,20401.99
217,Marsa Dubai,2017-07-19,18618.89
218,Marsa Dubai,2022-08-31,9751.45
219,Marsa Dubai,2024-09-05,10773.85
220,Marsa Dubai,2018-07-30,7596.77
221,Marsa Dubai,2022-08-31,9103.77
222,Marsa Dubai,2024-07-11,22237.96
223,Marsa Dubai,2023-02-23,23896.35
224,Marsa Dubai,2024-06-04,22873.67
225,Marsa Dubai,2024-05-20,25783.5
226,Marsa Dubai,2024-08-29,24219.18
227,Marsa Dubai,2021-03-17,12464.36
228,Marsa Dubai,2025-03-12,33306.14
229,Marsa Dubai,2024-06-07,12010.41
230,Marsa Dubai,2023-05-18,6915.83
231,Marsa Dubai,2022-03-08,5697.42
232,Marsa Dubai,2023-05-18,7474.07
233,Marsa Dubai,2023-10-04,17770.5
234,Marsa Dubai,2022-11-04,14734.89
235,Marsa Dubai,2017-07-03,13680.59
236,Marsa Dubai,2019-05-20,10724.25
237,Marsa Dubai,2016-08-15,13861.25
238,Marsa Dubai,2023-06-08,16196.62
239,Marsa Dubai,2024-10-03,15486.13
240,Marsa Dubai,2024-10-11,14843.27
241,Marsa Dubai,2016-04-25,14050.38
242,Marsa Dubai,2023-08-31,14826.96
243,Marsa Dubai,2019-03-07,10763.9
244,Marsa Dubai,2019-08-26,12916.68
245,Marsa Dubai,2019-02-12,17222.23
246,Marsa Dubai,2019-08-05,10319.34
247,Marsa Dubai,2016-04-13,19385.78
248,Marsa Dubai,2020-10-28,7744.73
249,Marsa Dubai,2024-05-09,27986.41
250,Marsa Dubai,2020-02-11,12386.97
251,Marsa Dubai,2023-10-30,17398.36
252,Marsa Dubai,2025-05-20,18757.21
253,Marsa Dubai,2022-11-29,14078.84
254,Marsa Dubai,2022-11-29,12516.07
255,Marsa Dubai,2016-05-03,8447.61
256,Marsa Dubai,2018-08-08,12148.85
257,Marsa Dubai,2016-04-25,7523.32
258,Marsa Dubai,2019-02-19,9711.64
259,Marsa Dubai,2025-02-26,15262.63
260,Marsa Dubai,2025-03-03,12635.38
261,Marsa Dubai,2017-01-05,9068.63
262,Marsa Dubai,2021-11-22,5657.65
263,Marsa Dubai,2023-01-23,9747.29
264,Marsa Dubai,2022-09-26,5405.41
265,Marsa Dubai,2023-08-21,12751.68
266,Marsa Dubai,2021-06-16,7484.41
267,Marsa Dubai,2023-09-26,6418.2
268,Marsa Dubai,2021-01-11,7900.21
269,Marsa Dubai,2017-04-18,11503.27
270,Marsa Dubai,2025-05-15,13388.77
271,Marsa Dubai,2021-12-13,10122.39
272,Marsa Dubai,2022-03-25,12999.94
273,Marsa Dubai,2019-04-04,9369.33
274,Marsa Dubai,2019-03-11,9076.54
275,Marsa Dubai,2025-01-28,19010.52
276,Marsa Dubai,2023-11-02,13634.59
277,Marsa Dubai,2018-02-12,13634.59
278,Marsa Dubai,2021-03-29,10962.14
279,Marsa Dubai,2017-10-09,10897.68
280,Marsa Dubai,2024-02-07,13491.86
281,Marsa Dubai,2022-06-15,12227.0
282,Marsa Dubai,2016-08-11,13175.62
283,Marsa Dubai,2017-06-05,11149.2
284,Marsa Dubai,2023-02-07,14128.4
285,Marsa Dubai,2022-07-07,12451.48
286,Marsa Dubai,2022-09-19,11151.14
287,Marsa Dubai,2024-09-18,18076.64
288,Marsa Dubai,2025-02-03,17337.55
289,Marsa Dubai,2017-10-09,16960.65
290,Marsa Dubai,2023-12-11,11683.38
291,Marsa Dubai,2017-10-31,12949.08
292,Marsa Dubai,2022-03-31,10672.14
293,Al Hebiah Fourth,2017-12-19,10432.19
294,Al Hebiah Fourth,2016-11-30,11455.71
295,Al Hebiah Fourth,2018-06-20,11953.31
296,Al Hebiah Fourth,2017-08-10,11749.9
297,Al Hebiah Fourth,2018-03-20,10596.12
298,Al Hebiah Fourth,2018-05-17,11594.82
299,Al Hebiah Fourth,2020-03-09,6446.49
300,Al Hebiah Fourth,2018-02-01,11207.62
301,Al Hebiah Fourth,2018-06-11,5167.22
302,Al Hebiah Fourth,2016-12-05,11455.71
303,Al Hebiah Fourth,2017-09-19,8965.43
304,Al Hebiah Fourth,2018-06-11,5178.17
305,Al Hebiah Fourth,2018-02-19,10851.18
306,Al Hebiah Fourth,2018-02-13,10250.57
307,Al Hebiah Fourth,2018-02-14,10707.24
308,Al Hebiah Fourth,2019-06-20,8273.77
309,Al Hebiah Fourth,2025-01-20,9232.74
